id,Season,Year,total_seas_prcp,name
ASN00009034,Autumn,1910,2100,PERTH REGIONAL OFFICE
ASN00014163,Autumn,1910,NA,DARWIN BOTANIC GARDENS
ASN00023000,Autumn,1910,2176,ADELAIDE WEST TERRACE
ASN00040214,Autumn,1910,2052,BRISBANE REGIONAL OFFICE
ASN00066062,Autumn,1910,3464,SYDNEY (OBSERVATORY HILL)
ASN00086071,Autumn,1910,1423,MELBOURNE REGIONAL OFFICE
ASN00094030,Autumn,1910,1013,HOBART BOTANICAL GARDENS
ASN00009034,Spring,1910,1608,PERTH REGIONAL OFFICE
ASN00014163,Spring,1910,NA,DARWIN BOTANIC GARDENS
ASN00023000,Spring,1910,1504,ADELAIDE WEST TERRACE
ASN00040214,Spring,1910,2153,BRISBANE REGIONAL OFFICE
ASN00066062,Spring,1910,1631,SYDNEY (OBSERVATORY HILL)
ASN00086071,Spring,1910,2372,MELBOURNE REGIONAL OFFICE
ASN00094030,Spring,1910,1759,HOBART BOTANICAL GARDENS
ASN00009034,Summer,1910,233,PERTH REGIONAL OFFICE
ASN00014163,Summer,1910,NA,DARWIN BOTANIC GARDENS
ASN00023000,Summer,1910,340,ADELAIDE WEST TERRACE
ASN00040214,Summer,1910,6455,BRISBANE REGIONAL OFFICE
ASN00066062,Summer,1910,3662,SYDNEY (OBSERVATORY HILL)
ASN00086071,Summer,1910,1273,MELBOURNE REGIONAL OFFICE
ASN00094030,Summer,1910,1403,HOBART BOTANICAL GARDENS
ASN00009034,Winter,1910,5463,PERTH REGIONAL OFFICE
ASN00014163,Winter,1910,NA,DARWIN BOTANIC GARDENS
ASN00023000,Winter,1910,2238,ADELAIDE WEST TERRACE
ASN00040214,Winter,1910,1797,BRISBANE REGIONAL OFFICE
ASN00066062,Winter,1910,3179,SYDNEY (OBSERVATORY HILL)
ASN00086071,Winter,1910,1200,MELBOURNE REGIONAL OFFICE
ASN00094030,Winter,1910,1630,HOBART BOTANICAL GARDENS
ASN00009034,Autumn,1911,1340,PERTH REGIONAL OFFICE
ASN00014163,Autumn,1911,NA,DARWIN BOTANIC GARDENS
ASN00023000,Autumn,1911,786,ADELAIDE WEST TERRACE
